id,name,description,offer_url,expiration_date,country_codes,default_payout,category,device_type,status
55076,U kunt miljonair worden!,Vul nu je gegevens in en maak kans om te winnen.,https://singingfiles.com/show.php?l=0&u=1187777&id=55076,01/01/27,SR-Suriname,0.1,Email/Zip Submit,mobile_droid,Active
54783,Vous pouvez devenir millionnaire !,Entrez vos informations maintenant pour courir la chance de gagner.,https://singingfiles.com/show.php?l=0&u=1187777&id=54783,01/01/27,CI-Côte d'Ivoire,0.1,Email/Zip Submit,mobile_ios,Active
65102,Осы сауалнамадан кейін сыйлық алыңыз!,Жеңіске жету мүмкіндігі үшін ақпаратыңызды қазір енгізіңіз.,https://singingfiles.com/show.php?l=0&u=1187777&id=65102,01/01/27,KZ-Kazakhstan,0.68,Email/Zip Submit,mobile_droid,Active
68990,Begin nu met de voorbereidingen voor Pasen!,Voer nu je gegevens in om te beginnen.,https://singingfiles.com/show.php?l=0&u=1187777&id=68990,01/01/27,NL-Netherlands,1.54,Email/Zip Submit,ince,Active
65623,Vul deze enquête in voor een beloning!,Vul nu uw gegevens in en maak kans om te winnen.,https://singingfiles.com/show.php?l=0&u=1187777&id=65623,01/01/27,AW-Aruba,0.08,Email/Zip Submit,mobile_droid,Active
65602,Répondez à cette enquête pour une récompense !,Entrez vos informations maintenant pour avoir une chance de gagner.,https://singingfiles.com/show.php?l=0&u=1187777&id=65602,01/01/27,SC-Seychelles,0.08,Email/Zip Submit,mobile_ios,Active
69146,Take a chance at a PayPal Gift Card!,Enter your information now for a chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=69146,01/01/27,CA-Canada,1.63,Email/Zip Submit,mobile_ios,Active
70094,Dapatkan Samsung Galaxy S25 terkini!,Masukkan maklumat anda sekarang untuk peluang menang.,https://singingfiles.com/show.php?l=0&u=1187777&id=70094,01/01/27,MY-Malaysia,0.6,Email/Zip Submit,mobile_ios,Active
70091,¡Consigue el último Samsung Galaxy S25!,Ingresa tus datos ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=70091,01/01/27,MX-Mexico,0.43,Email/Zip Submit,mobile_ios,Active
68935,You can get the latest Samsung S25!,Enter your information now for a chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=68935,01/01/27,CA-Canada,1.07,Email/Zip Submit,mobile_droid,Active
65587,Veja se você precisa de seus dados protegidos!,Insira suas informações agora para começar.,https://singingfiles.com/show.php?l=0&u=1187777&id=65587,01/01/27,MO-Macao,0.08,Email/Zip Submit,mobile_ios,Active
68927,Obtenez le dernier Samsung S25 !,Saisissez vos informations pour tenter de gagner.,https://singingfiles.com/show.php?l=0&u=1187777&id=68927,01/01/27,FR-France,0.65,Email/Zip Submit,mobile_ios,Active
65583,See if you need your data Protected!,Enter your information now to get started.,https://singingfiles.com/show.php?l=0&u=1187777&id=65583,01/01/27,BZ-Belize,0.08,Email/Zip Submit,mobile_droid,Active
65615,Take This Survey for a Reward! ,Enter your information now for your chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=65615,01/01/27,BZ-Belize,0.08,Email/Zip Submit,mobile_ios,Active
36696,Soyez récompensé pour avoir participé à l'enquête sur les finances !,Entrez vos informations maintenant pour avoir une chance de gagner.,https://singingfiles.com/show.php?l=0&u=1187777&id=36696,01/01/27,CM-Cameroon,0.08,Email/Zip Submit,mobile,Active
69218,Λάβετε περιεχόμενο για το τηλέφωνό σας!,Εισαγάγετε τον αριθμό του κινητού σας τώρα για να ξεκινήσετε τη λήψη.,https://singingfiles.com/show.php?l=0&u=1187777&id=69218,01/01/27,GR-Greece,1.37,Pin-Submit,mobile_droid,Active
54790,كن مليونيرا!,أدخل معلوماتك الآن للحصول على فرصة للفوز.,https://singingfiles.com/show.php?l=0&u=1187777&id=54790,01/01/27,TN-Tunisia,0.1,Email/Zip Submit,ince,Active
54816,Можете постати милионер!,Унесите своје податке сада да бисте добили шансу за победу.,https://singingfiles.com/show.php?l=0&u=1187777&id=54816,01/01/27,RS-Serbia,0.1,Email/Zip Submit,mobile_ios,Active
68583,You can get a Sony PlayStation 5 Now!,Enter your information now for a chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=68583,01/01/27,GB-United Kingdom,0.69,Email/Zip Submit,mobile_droid,Active
54621,Become A Millionaire!,Enter your information now for a chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=54621,01/01/27,JM-Jamaica,0.1,Email/Zip Submit,ince,Active
55070,Poți deveni milionar!,Introduceți informațiile dvs. acum pentru a avea șansa de a câștiga.,https://singingfiles.com/show.php?l=0&u=1187777&id=55070,01/01/27,"MD-Moldova,Republic of",0.1,Email/Zip Submit,mobile_droid,Active
65565,Shihni nëse keni nevojë për të dhënat tuaja të mbrojtura!,Futni të dhënat tuaja tani për të filluar.,https://singingfiles.com/show.php?l=0&u=1187777&id=65565,01/01/27,AL-Albania,0.08,Email/Zip Submit,mobile_ios,Active
69534,¡Regístrate en iSurvey World!,Ingresa tus datos ahora para empezar.,https://singingfiles.com/show.php?l=0&u=1187777&id=69534,01/01/27,AR-Argentina,0.51,Email/Zip Submit,mobile_droid,Active
41570,Se om du behöver dina data skyddade!,Ange ditt mobilnummer nu för att komma igång.,https://singingfiles.com/show.php?l=0&u=1187777&id=41570,01/01/27,SE-Sweden,0.08,Email/Zip Submit,mobile_droid,Active
41567,Protect Your Personal Data!,Enter your information now to get started.,https://singingfiles.com/show.php?l=0&u=1187777&id=41567,01/01/27,ZA-South Africa,0.08,Email/Zip Submit,ince,Active
36687,Take the New Finance Survey! ,Enter your information now to get started.,https://singingfiles.com/show.php?l=0&u=1187777&id=36687,01/01/27,JM-Jamaica,0.08,Email/Zip Submit,ince,Active
65609,Take This Survey for a Reward! ,Enter your information now for your chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=65609,01/01/27,BT-Bhutan,0.08,Email/Zip Submit,mobile_ios,Active
56776,Enter for a Samsung A53!,Enter your information now for a chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=56776,01/01/27,NG-Nigeria,0.1,Email/Zip Submit,mobile_droid,Active
64711,Соңғы қаржылық сауалнамаға қатысыңыз!,Жеңіске жету мүмкіндігі үшін ақпаратыңызды қазір енгізіңіз.,https://singingfiles.com/show.php?l=0&u=1187777&id=64711,01/01/27,KZ-Kazakhstan,0.1,Email/Zip Submit,mobile_droid,Active
54841,¡Conviértete en millonario!,Ingrese su información ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=54841,01/01/27,CR-Costa Rica,0.1,Email/Zip Submit,ince,Active
54802,¡Conviértete en millonario!,Ingrese su información ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=54802,01/01/27,EC-Ecuador,0.1,Email/Zip Submit,ince,Active
66422,¡Responda esta encuesta para obtener una recompensa!,Ingrese su información ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=66422,01/01/27,MX-Mexico,0.6,Email/Zip Submit,mobile_droid,Active
65604,Ambil Tinjauan Ini untuk Hadiah!,Masukkan maklumat anda sekarang untuk peluang anda menang.,https://singingfiles.com/show.php?l=0&u=1187777&id=65604,01/01/27,BN-Brunei Darussalam,0.08,Email/Zip Submit,mobile_droid,Active
54815,Можете постати милионер!,Унесите своје податке сада да бисте добили шансу за победу.,https://singingfiles.com/show.php?l=0&u=1187777&id=54815,01/01/27,RS-Serbia,0.1,Email/Zip Submit,mobile_droid,Active
54803,¡Puedes convertirte en millonario!,Ingrese su información ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=54803,01/01/27,EC-Ecuador,0.1,Email/Zip Submit,mobile_droid,Active
65574,Lihat jika anda memerlukan data anda Dilindungi!,Masukkan maklumat anda sekarang untuk bermula.,https://singingfiles.com/show.php?l=0&u=1187777&id=65574,01/01/27,BN-Brunei Darussalam,0.08,Email/Zip Submit,mobile_droid,Active
54830,You can Become A Millionaire!,Enter your information now for a chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=54830,01/01/27,LB-Lebanon,0.1,Email/Zip Submit,mobile_droid,Active
36712,Get Rewarded for Taking the Finance Survey!,Enter your information now for a chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=36712,01/01/27,UG-Uganda,0.08,Email/Zip Submit,mobile,Active
54750,You can Become A Millionaire!,Enter your information now for a chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=54750,01/01/27,ZA-South Africa,0.1,Email/Zip Submit,mobile_ios,Active
69040,এখনই সেরা ফুটবলারদের ভিডিওগুলি পান!,জয়ের সুযোগ পেতে এখনই আপনার মোবাইল নম্বর লিখুন।,https://singingfiles.com/show.php?l=0&u=1187777&id=69040,01/01/27,BD-Bangladesh,0.27,Pin-Submit,mobile_droid,Active
61321,¡Consigue tu iPhone 15 Pro ahora!,Ingrese su información ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=61321,01/01/27,CL-Chile,0.17,Email/Zip Submit,mobile_droid,Active
36524,नयाँ वित्त सर्वेक्षण लिनुहोस्!,सुरू गर्नका लागि तपाईंको जानकारी प्रविष्ट गर्नुहोस्।,https://singingfiles.com/show.php?l=0&u=1187777&id=36524,01/01/27,NP-Nepal,0.08,Email/Zip Submit,ince,Active
65593,Kijk of uw gegevens beschermd moeten worden!,Voer nu uw gegevens in om aan de slag te gaan.,https://singingfiles.com/show.php?l=0&u=1187777&id=65593,01/01/27,AW-Aruba,0.08,Email/Zip Submit,mobile_ios,Active
36526,ဘဏ္Financeာရေးစစ်တမ်းအသစ်ကိုယူပါ။,စတင်ရန်သင်၏အချက်အလက်များကိုယခုထည့်ပါ။,https://singingfiles.com/show.php?l=0&u=1187777&id=36526,01/01/27,MM-Myanmar,0.08,Email/Zip Submit,ince,Active
54842,¡Puedes convertirte en millonario!,Ingrese su información ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=54842,01/01/27,CR-Costa Rica,0.1,Email/Zip Submit,mobile_droid,Active
45740,Bảo vệ dữ liệu cá nhân của bạn!,Nhập thông tin của bạn ngay bây giờ để bắt đầu.,https://singingfiles.com/show.php?l=0&u=1187777&id=45740,01/01/27,VN-Viet Nam,0.08,Email/Zip Submit,ince,Active
65564,Shihni nëse keni nevojë për të dhënat tuaja të mbrojtura!,Futni të dhënat tuaja tani për të filluar.,https://singingfiles.com/show.php?l=0&u=1187777&id=65564,01/01/27,AL-Albania,0.08,Email/Zip Submit,mobile_droid,Active
36512,¡Responda la nueva encuesta sobre finanzas!,Ingrese su información ahora para comenzar.,https://singingfiles.com/show.php?l=0&u=1187777&id=36512,01/01/27,DO-Dominican Republic,0.08,Email/Zip Submit,ince,Active
60188,¡Obtenga recompensas por realizar la encuesta sobre finanzas!,Ingrese su información ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=60188,01/01/27,CO-Colombia,0.08,Email/Zip Submit,mobile_ios,Active
36684,ទទួលយកការស្ទង់មតិហិរញ្ញវត្ថុថ្មី!,បញ្ចូលព័ត៌មានរបស់អ្នកឥឡូវនេះដើម្បីចាប់ផ្តើម។,https://singingfiles.com/show.php?l=0&u=1187777&id=36684,01/01/27,KH-Cambodia,0.08,Email/Zip Submit,ince,Active
54746,আপনি কোটিপতি হতে পারেন!,জয়ের সুযোগের জন্য এখনই আপনার তথ্য লিখুন।,https://singingfiles.com/show.php?l=0&u=1187777&id=54746,01/01/27,BD-Bangladesh,0.1,Email/Zip Submit,mobile_droid,Active
56778,Entra por un Samsung A53!,Ingrese su información ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=56778,01/01/27,PE-Peru,0.17,Email/Zip Submit,mobile_droid,Active
54770,You can Become A Millionaire!,Enter your information now for a chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=54770,01/01/27,LK-Sri Lanka,0.1,Email/Zip Submit,mobile_droid,Active
36503,¡Obtenga recompensas por realizar la encuesta sobre finanzas!,Ingrese su información ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=36503,01/01/27,AR-Argentina,0.08,Email/Zip Submit,mobile,Active
48945,لعب فرسان الماس!,أدخل معلوماتك الآن لتبدأ.,https://singingfiles.com/show.php?l=0&u=1187777&id=48945,01/01/27,EG-Egypt,0.06,Pin-Submit,ince,Active
36686,ទទួលបានរង្វាន់សម្រាប់ការស្ទង់មតិហិរញ្ញវត្ថុ!,បញ្ចូលព័ត៌មានរបស់អ្នកឥឡូវនេះដើម្បីមានឱកាសឈ្នះ។,https://singingfiles.com/show.php?l=0&u=1187777&id=36686,01/01/27,KH-Cambodia,0.08,Email/Zip Submit,mobile,Active
56779,Entra por un Samsung A53!,Ingrese su información ahora para tener la oportunidad de ganar.,https://singingfiles.com/show.php?l=0&u=1187777&id=56779,01/01/27,CL-Chile,0.25,Email/Zip Submit,mobile_droid,Active
54764,¡Ikatu oiko ndehegui peteĩ millonario!,Emoinge ne marandu ko’áĝa reguereko haĝua pa’ũ regana haĝua.,https://singingfiles.com/show.php?l=0&u=1187777&id=54764,01/01/27,PY-Paraguay,0.1,Email/Zip Submit,mobile_droid,Active
56780,Enter for a Samsung A53!,Enter your information now for a chance to win.,https://singingfiles.com/show.php?l=0&u=1187777&id=56780,01/01/27,ZA-South Africa,0.17,Email/Zip Submit,mobile_droid,Active
